Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Ampleforth Governance Token USD,2.6073,0.0439,39.786M,"733,730",39.786M
Persistence USD,0.232265,-0.018944,39.754M,"420,036",39.754M
Uquid Coin USD,3.9686,0.0458,39.686M,"212,036",39.686M
Veritise USD,0.176403,-0.000269,39.524M,"292,743",39.524M
ThunderCore USD,0.003829,-0.000305,39.477M,21.327M,39.477M
Constellation USD,0.030835,-0.000976,39.066M,"310,974",39.066M
Coinweb USD,0.022561,-0.000117,38.239M,"193,366",38.239M
Seedify.fund USD,0.765607,-0.006552,38.231M,"817,565",38.231M
Ampleforth USD,1.1948,-0.0417,38.158M,"159,354",38.158M
DXdao USD,773.31,0,38.14M,290,38.14M
Lyra USD,0.094345,-0.00009,38.134M,"9,961",38.134M
Gods Unchained USD,0.163427,0.007255,38.043M,1.216M,38.043M
Moonriver USD,5.2376,-0.0256,37.973M,3.326M,37.973M
RACA USD,0.000113,-0.000001,37.798M,1.828M,37.798M
Reef USD,0.001653,-0.000029,37.717M,5.545M,37.717M
Telos USD,0.137948,-0.003465,37.263M,1.587M,37.263M
QuickSwap USD,72.02,-1.27,37.019M,4.313M,37.019M
IDEX USD,0.054827,-0.001517,36.946M,3.596M,36.946M
Pirate Chain USD,0.187245,-0.006802,36.74M,"34,954",36.74M
Propy USD,0.367399,-0.031086,36.74M,"440,843",36.74M
Biswap USD,0.098035,0.000162,36.569M,3.388M,36.569M
Chainge USD,0.091324,-0.000619,36.516M,"132,934",36.516M
HUNT USD,0.328973,-0.005123,36.305M,4.066M,36.305M
Automata Network USD,0.090374,-0.002347,36.158M,1.26M,36.158M
Quickswap [New] USD,0.06817,-0.0015,36.13M,"538,798",36.13M
Carry USD,0.003674,-0.000207,36.029M,5.478M,36.029M
Celsius USD,0.150756,-0.008019,36.01M,1.007M,36.01M
Saitama USD,0.00081,-0.000005,35.932M,1.482M,35.932M
Utrust USD,0.071643,0.000094,35.822M,"931,182",35.822M
FirmaChain USD,0.050435,-0.00165,35.644M,6.006M,35.644M
Komodo USD,0.262013,0.001162,35.622M,"605,559",35.622M
Voyager Token USD,0.127586,-0.004837,35.53M,3.531M,35.53M
XCAD Network USD,0.834159,0.006571,35.513M,1.41M,35.513M
Nakamoto Games USD,0.488583,-0.017413,35.354M,4.085M,35.354M
Yield Guild Games USD,0.141323,-0.000773,35.189M,4.432M,35.189M
KLAYswap Protocol USD,0.633839,0.004042,34.734M,"231,716",34.734M
Chainbing USD,1.0465,-0.0008,34.534M,"5,937",34.534M
Cortex USD,0.161745,0.007578,34.534M,3.905M,34.534M
Measurable Data Token USD,0.050827,0.00056,34.367M,8.53M,34.367M
Dejitaru Tsuka USD,0.034364,0.005146,34.364M,1.481M,34.364M
Rally USD,0.006793,-0.000176,33.999M,"423,079",33.999M
IRISnet USD,0.022109,0.000152,33.911M,"480,075",33.911M
Kwenta USD,247.07,-5.29,33.881M,"225,380",33.881M
Zebec USD,0.010814,0.000092,33.819M,5.205M,33.819M
SuperRare USD,0.075189,0.000727,33.568M,"745,719",33.568M
PlatON USD,0.008219,0.0001,33.352M,"939,580",33.352M
Velas USD,0.013455,0.001145,33.285M,"637,091",33.285M
Multichain USD,2.2792,-0.1116,33.142M,3.595M,33.142M
Fei USD USD,0.955987,-0.007471,33.082M,"283,055",33.082M
Flamingo USD,0.066788,0.000219,32.987M,2.489M,32.987M
Perpetual Protocol USD,0.498877,0.004345,32.927M,2.834M,32.927M
DIA USD,0.311065,0.063114,32.785M,55.324M,32.785M
Meter Governance USD,1.9036,-0.035,32.784M,"106,706",32.784M
VerusCoin USD,0.444262,0.023384,32.736M,"4,003",32.736M
Gomining USD,0.117432,-0.009919,32.232M,1.553M,32.232M
NEST Protocol USD,0.011048,0.000047,32.169M,1.375M,32.169M
Polkastarter USD,0.324206,-0.003049,32.168M,1.445M,32.168M
Forta USD,0.140058,-0.002195,32.144M,"230,907",32.144M
DeGate USD,0.148046,0.000008,32.132M,"1,324",32.132M
TokenPocket USD,0.00926,-0.000053,32.099M,"91,850",32.099M
SelfKey USD,0.006016,-0.000008,31.914M,2.684M,31.914M
Ultiledger USD,0.01124,-0.000071,31.883M,"2,434",31.883M
DFI.Money USD,816.47,24.65,31.512M,6.852M,31.512M
Sweat Economy USD,0.006063,0.00009,31.329M,"995,368",31.329M
Altura USD,0.042469,-0.000127,30.567M,"319,151",30.567M
Wirex Token USD,0.003052,-0.000015,30.524M,"178,393",30.524M
Groestlcoin USD,0.366346,0.006942,30.391M,1.601M,30.391M
BitShares USD,0.010143,-0.000282,30.379M,"936,642",30.379M
Moss Coin USD,0.078964,0.00033,30.231M,1.56M,30.231M
Hifi Finance USD,0.318089,-0.008194,30.223M,6.846M,30.223M
MXC USD,0.011368,-0.000153,30.035M,2.234M,30.035M
Veritaseum USD,13.96,-1.42,30.001M,726,30.001M
Tornado Cash USD,3.3619,-0.0067,29.771M,"370,952",29.771M
Adshares USD,0.766026,0.000235,29.685M,"179,757",29.685M
Qredo USD,0.082684,-0.000321,29.683M,"456,073",29.683M
Bloktopia USD,0.001672,-0.000025,29.329M,"405,832",29.329M
NEOPIN USD,0.557173,-0.009123,29.324M,"611,828",29.324M
Virtua USD,0.026283,-0.000441,29.157M,2.493M,29.157M
NvirWorld USD,0.027614,-0.000052,29.061M,1.713M,29.061M
BakeryToken USD,0.100244,-0.001827,29.048M,3.207M,29.048M
Bounce Token USD,4.4681,-0.0534,29.042M,1.348M,29.042M
Steem Dollars USD,2.3608,-0.0475,29.015M,16.115M,29.015M
Reserve USD,0.999011,0.002652,28.822M,"6,904",28.822M
NuNet USD,0.056965,0.003383,28.715M,"143,117",28.715M
ATOR Protocol USD,0.390241,0.005597,28.549M,"302,871",28.549M
USDK USD,0.988231,-0.004235,28.263M,615,28.263M
Maple USD,6.3598,-0.0258,28.097M,"628,377",28.097M
SpaceN USD,0.701166,0.001985,28.054M,"3,048",28.054M
Serum USD,0.106417,-0.00444,28.014M,6.934M,28.014M
Onyxcoin USD,0.001153,-0.000005,27.954M,1.564M,27.954M
Litentry USD,0.70336,-0.001947,27.867M,3.136M,27.867M
Gelato USD,0.253397,-0.008729,27.861M,"104,383",27.861M
GameFi.org USD,3.334,-0.3441,27.808M,"196,184",27.808M
Ethernity USD,1.5589,0.0124,27.757M,1.597M,27.757M
TROY USD,0.003215,0.000054,27.729M,12.792M,27.729M
Beefy Finance USD,346.29,19.51,27.703M,"239,473",27.703M
Snek USD,0.000389,-0.000015,27.575M,"658,515",27.575M
Cream Finance USD,14.83,-0.25,27.526M,"767,161",27.526M
LTO Network USD,0.065792,0.000555,27.422M,1.259M,27.422M
Dione Protocol USD,0.00288,0.000065,27.389M,"839,641",27.389M
Defigram USD,2.737,0.0113,27.37M,"1,366",27.37M
Gas USD,2.6969,-0.0179,27.315M,22.687M,27.315M
Alpha Quark Token USD,1.0222,0.0067,27.232M,3.056M,27.232M
Streamr USD,0.028456,0.001681,27.013M,4.45M,27.013M
Travala.com USD,0.516193,-0.009576,26.991M,1.054M,26.991M
MonaCoin USD,0.409594,0.000716,26.922M,"72,595",26.922M
Alchemix USD,14.42,-0.03,26.884M,"849,331",26.884M
ZEON USD,0.00088,-0.000005,26.854M,"25,848",26.854M
Sentinel Protocol USD,0.055586,-0.001455,26.839M,1.588M,26.839M
RichQUACK.com USD,0,0,26.812M,"404,036",26.812M
Phoenix USD,0.673857,0.040337,26.798M,8.338M,26.798M
Refereum USD,0.005324,0.000134,26.615M,14.096M,26.615M
H2O DAO USD,0.118064,0.000297,26.572M,"181,077",26.572M
Hourglass USD,0.271115,0.011638,26.558M,"113,270",26.558M
Elastos USD,1.2958,-0.0048,26.364M,"316,057",26.364M
Augur USD,2.3512,0.0133,25.863M,15.206M,25.863M
district0x USD,0.025809,-0.00028,25.809M,"135,096",25.809M
CoinEx Token USD,0.036244,-0.00002,25.684M,"884,902",25.684M
Stader USD,0.906805,-0.017163,25.587M,"906,931",25.587M
Klever USD,0.002846,-0.00014,25.277M,1.365M,25.277M
BENQI USD,0.006656,0.000094,25.235M,"776,270",25.235M
Milady Meme Coin USD,0.00000003,0,25.131M,3.775M,25.131M
HELLO USD,0.039756,-0.001873,24.897M,"733,971",24.897M
VIMworld USD,0.00443,-0.000162,24.659M,"145,761",24.659M
Syntropy USD,0.035283,-0.000798,24.463M,"370,155",24.463M
Bitcicoin USD,0.00317,-0.000084,24.434M,"534,784",24.434M
AhaToken USD,0.006542,0.000139,24.413M,13.72M,24.413M
Keep3rV1 USD,57.38,-0.46,24.398M,1.169M,24.398M
Aurora USD,0.083523,0.000349,24.277M,"419,210",24.277M
Namecoin USD,1.6474,0.0025,24.277M,"6,822",24.277M
Yield App USD,0.108748,-0.000499,24.147M,"304,294",24.147M
Orion Protocol USD,0.694966,-0.006407,23.73M,13.966M,23.73M
BarnBridge USD,2.9944,0.0089,23.686M,2.025M,23.686M
Findora USD,0.00267,-0.000034,23.636M,"664,649",23.636M
Guild of Guardians USD,0.059559,0.007652,23.534M,4.043M,23.534M
FC Barcelona Fan Token USD,2.4069,-0.0084,23.483M,"661,627",23.483M
Contentos USD,0.005594,-0.00001,23.277M,1.214M,23.277M
FNCY USD,0.027268,-0.00087,23.269M,"64,445",23.269M
MAP Protocol USD,0.010547,0.000003,23.258M,"205,797",23.258M
Boba Network USD,0.134819,-0.000518,23.138M,1.178M,23.138M
Alpaca Finance USD,0.152657,-0.000457,23.086M,1.417M,23.086M
UFO Gaming USD,0.00000089,0.00000001,22.962M,"522,321",22.962M
Nine Chronicles USD,0.075958,0.007455,22.735M,3.749M,22.735M
Hermez Network USD,4.832,-0.0114,22.71M,"1,632",22.71M
Bluzelle USD,0.055881,-0.00089,22.464M,1.492M,22.464M
VAIOT USD,0.087057,-0.00059,22.392M,"891,400",22.392M
Dego Finance USD,1.5746,-0.0037,22.297M,1.084M,22.297M
Firo USD,1.7502,-0.0199,22.017M,"440,396",22.017M
NULS USD,0.212992,0.000003,21.985M,"852,550",21.985M
Splintershards USD,0.021414,-0.000618,21.974M,"241,632",21.974M
ParaSwap USD,0.029133,-0.000168,21.703M,"73,950",21.703M
Alpine F1 Team Fan Token USD,1.9091,-0.0024,21.688M,1.968M,21.688M
CLV USD,0.037169,0.00009,21.684M,1.473M,21.684M
ONBUFF USD,0.028148,0.000346,21.676M,"147,197",21.676M
TerraKRW USD,0.000565,0.000043,21.669M,9,21.669M
Dynex USD,0.369236,-0.006729,21.625M,1.106M,21.625M
RAMP USD,0.04512,-0.000374,21.56M,368,21.56M
Alitas USD,0.177698,-0.004543,21.324M,"2,210",21.324M
REI Network USD,0.022384,0.000306,21.264M,"997,138",21.264M
Everdome USD,0.001111,-0.000007,21.112M,"379,323",21.112M
Ambire AdEx USD,0.146796,0.003214,20.927M,6.924M,20.927M
Manchester City Fan Token USD,3.0773,0.0234,20.78M,1.504M,20.78M
Akropolis USD,0.004756,-0.000174,20.524M,3.451M,20.524M
GuildFi USD,0.056239,0.000501,20.519M,"941,193",20.519M
Velo USD,0.002774,-0.000086,20.499M,1.755M,20.499M
Origin Dollar USD,0.997509,-0.000584,20.357M,1.893M,20.357M
Student Coin USD,0.003808,-0.000054,20.268M,"102,177",20.268M
Kishu Inu USD,0,0,19.968M,"338,807",19.968M
LeverFi USD,0.001281,-0.00002,19.795M,1.915M,19.795M
StaFi USD,0.326369,0.015187,19.73M,3.339M,19.73M
Angola USD,0.041355,0.000846,19.662M,"59,136",19.662M
GYEN USD,0.007185,0.000057,19.645M,"215,768",19.645M
Elitium USD,0.703627,0.009049,19.643M,"72,925",19.643M
YooShi USD,0.00000005,0,19.611M,"71,030",19.611M
Revain USD,0.00023,0.000002,19.522M,"360,535",19.522M
Fusion USD,0.261637,0.003911,19.454M,"243,544",19.454M
BitMart Token USD,0.112747,-0.002053,19.42M,2.383M,19.42M
ArbDoge AI USD,0,0,19.266M,9.952M,19.266M
Grove Coin USD,0.201504,-0.018274,19.16M,2.49M,19.16M
Maro USD,0.022959,-0.003645,19.12M,2.228M,19.12M
Metronome USD,1.3363,0.0823,19.109M,"7,561",19.109M
KardiaChain USD,0.004015,-0.000007,19.073M,"229,021",19.073M
Tokenlon Network Token USD,0.42462,0.01069,18.921M,"395,502",18.921M
Star Atlas DAO USD,0.122823,0.000837,18.793M,"217,815",18.793M
AirSwap USD,0.107127,0.000339,18.691M,"438,030",18.691M
Ternoa USD,0.016647,0.000195,18.691M,"691,699",18.691M
Bonk USD,0.00000034,-0.00000001,18.496M,2.189M,18.496M
Ellipsis USD,0.025314,-0.000884,18.319M,"297,907",18.319M
League of Kingdoms Arena USD,0.246889,-0.005562,18.239M,3.244M,18.239M
Harvest Finance USD,26.56,-0.6,18.179M,"546,390",18.179M
Mango USD,0.018125,-0.000107,18.125M,"175,478",18.125M
MANTRA USD,0.025656,-0.000467,18.104M,1.721M,18.104M
Throne USD,0.04625,-0.001211,18.072M,2.207M,18.072M
Tellor USD,10.58,0.08,18.02M,2.015M,18.02M
NFT Worlds USD,0.0253,0.002526,18.016M,"140,389",18.016M
rhino.fi USD,0.744326,0.005037,17.973M,"8,823",17.973M
StreamCoin USD,0.012038,-0.000145,17.969M,11.318M,17.969M
Izumi Finance USD,0.022773,-0.000418,17.932M,"571,934",17.932M
Unifi Protocol DAO USD,3.3503,-0.0012,17.923M,2.952M,17.923M
HAVAH USD,0.038978,-0.000651,17.772M,"116,753",17.772M
dForce USD,0.040953,-0.000012,17.693M,1.003M,17.693M
Rari Governance Token USD,1.4172,-0.3053,17.675M,"49,647",17.675M
S.S. Lazio Fan Token USD,2.0519,-0.005,17.646M,2.146M,17.646M
Pip USD,0.194647,0.005341,17.438M,"948,928",17.438M
KILT Protocol USD,0.352113,-0.005737,17.401M,"35,599",17.401M
Opulous USD,0.071165,-0.001282,17.378M,"199,164",17.378M
Image Generation AI USD,0.02231,0.003427,17.331M,"325,397",17.331M
Aleph.im USD,0.070031,-0.001079,17.313M,"193,019",17.313M
VIDT DAO USD,0.022414,0.000729,17.259M,3.35M,17.259M
Paris Saint-Germain Fan Token USD,3.4798,0.0104,17.252M,"933,924",17.252M
Boson Protocol USD,0.149913,-0.001977,17.155M,"201,809",17.155M
Rook USD,27.75,-2.91,17.137M,"113,140",17.137M
PIVX USD,0.228653,-0.011085,17.118M,1.09M,17.118M
Rarible USD,1.1815,-0.0319,17.062M,"207,648",17.062M
CENNZnet USD,0.014214,-0.000179,17.057M,"237,441",17.057M
Kin USD,0.00000771,0.00000078,17.015M,"261,448",17.015M
Shiba Predator USD,0.00000003,0,17.012M,"340,890",17.012M
Pluton USD,9.1747,0.0543,16.991M,"352,718",16.991M
Proton USD,0.000903,-0.000028,16.877M,"543,241",16.877M
Indigo Protocol USD,3.2803,0.0667,16.877M,"307,907",16.877M
Kava Lend USD,0.124942,0.001945,16.841M,2.577M,16.841M
Volt Inu USD,0.00000031,-0.00000001,16.792M,6.372M,16.792M
HOPR USD,0.049184,-0.000504,16.78M,"431,049",16.78M
Bubblefong USD,0.124321,0.003994,16.779M,"595,639",16.779M
RFOX USD,0.012783,0.000041,16.771M,"202,540",16.771M
Tranchess USD,0.136704,0.003832,16.76M,2.618M,16.76M
RMRK USD,1.7597,-0.1266,16.717M,"53,567",16.717M
Voxies USD,0.142344,0.001351,16.691M,1.591M,16.691M
GET Protocol USD,1.457,0.1214,16.593M,"110,744",16.593M
Red Kite USD,0.143893,0.029039,16.503M,"229,488",16.503M
Gifto USD,0.016487,0.000957,16.475M,3.84M,16.475M
DeRace USD,0.162367,-0.003156,16.352M,"223,664",16.352M
Cult DAO USD,0.00000378,0.00000055,16.336M,"882,258",16.336M
PARSIQ USD,0.087905,0.000839,16.285M,"871,301",16.285M
Optimus AI USD,0.169985,0.017869,16.155M,"449,469",16.155M
Circuits of Value USD,0.00905,0.000186,16.153M,"125,384",16.153M
CONUN USD,0.005574,0.000036,16.149M,"47,451",16.149M
OG Fan Token USD,4.1457,0.0482,16.142M,5.626M,16.142M
SONM (BEP-20) USD,0.362356,-0.003425,16.089M,1.445M,16.089M
Vectorspace AI USD,0.328766,-0.000256,16.071M,"31,808",16.071M
Battle World USD,0.077656,-0.000973,16.017M,"104,805",16.017M
ForTube USD,0.01995,-0.000042,15.86M,"580,064",15.86M
Metahero USD,0.003081,-0.00003,15.698M,"186,567",15.698M
Minswap USD,0.022198,-0.000365,15.617M,"35,086",15.617M
BurgerCities USD,0.401186,-0.006186,15.576M,2.162M,15.576M
Swarm USD,0.312682,-0.00302,15.561M,"68,290",15.561M
Celo Euro USD,1.1095,0.0091,15.52M,"76,319",15.52M
Hillstone Finance USD,0.516016,0.002024,15.486M,"103,472",15.486M
Tamadoge USD,0.011105,-0.000072,15.473M,"580,752",15.473M
Kleros USD,0.021662,-0.0009,15.405M,"53,877",15.405M
Choise.com USD,0.140118,-0.002249,15.353M,2.621M,15.353M
Dock USD,0.017505,0.000129,15.342M,"489,456",15.342M
VITE USD,0.014908,-0.000061,15.314M,"397,161",15.314M
FIO Protocol USD,0.022357,-0.000001,15.296M,1.382M,15.296M
Hacken Token USD,0.023544,0.000455,15.214M,"854,029",15.214M
Lovely Inu Finance USD,0.00000022,0.00000001,15.199M,1.503M,15.199M
Radiant USD,0.002349,0.000058,15.195M,"61,625",15.195M
Phantasma USD,0.12559,0.012633,15.178M,"137,464",15.178M
Wing Finance USD,4.4041,-0.0899,15.119M,1.271M,15.119M
Drep [new] USD,0.310052,-0.008646,15.111M,1.47M,15.111M
BIDR USD,0.000067,0,15.068M,9.984M,15.068M
FC Porto Fan Token USD,1.9268,0.0053,15.029M,2.981M,15.029M
?ternity USD,0.040215,-0.001215,14.879M,"254,615",14.879M
Gamium USD,0.000716,0.000005,14.886M,"216,847",14.886M
The Transfer Token USD,0.122068,0,14.74M,21,14.74M
QuadrantProtocol USD,0.014599,0.00031,14.599M,"4,665",14.599M
CUDOS USD,0.002518,0.000109,14.592M,"308,298",14.592M
Ellipsis USD,0.000216,0.000003,14.564M,1.349M,14.564M
ICHI USD,2.164,-0.0289,14.475M,"2,616",14.475M
Sovryn USD,0.428641,0.005534,14.445M,"177,358",14.445M
BABB USD,0.00023,0.000009,14.418M,"123,347",14.418M
ApolloX USD,0.032184,-0.000539,14.416M,"414,005",14.416M
Waltonchain USD,0.173523,-0.000202,14.351M,"773,863",14.351M
WhiteCoin USD,0.018771,0.000029,14.347M,"136,578",14.347M
GameZone USD,0.017074,-0.000714,14.344M,"13,946",14.344M
Frontier USD,0.159532,-0.001837,14.358M,2.144M,14.358M
Petals USD,0.001012,-0.000005,14.298M,"6,873",14.298M
RAI Finance USD,0.043356,0.000593,14.149M,"630,586",14.149M
Decentral Games USD,0.02013,0.000266,14.132M,"151,648",14.132M
Diamond USD,3.7437,-0.0534,14.093M,"10,181",14.093M
Santos FC Fan Token USD,3.0978,-0.0179,14.095M,2.945M,14.095M
GALAXIA USD,0.0065,0.000207,14.059M,"782,937",14.059M
DIMO USD,0.122091,0.004421,14.056M,"47,057",14.056M
MILC Platform USD,0.112422,-0.001359,13.988M,"250,427",13.988M
AIOZ Network USD,0.014349,-0.000125,13.833M,"59,045",13.833M
Dogechain USD,0.00077,0.000175,13.771M,"998,546",13.771M
Hathor USD,0.055789,-0.00017,13.712M,"399,775",13.712M
Ooki Protocol USD,0.003005,0.00027,13.699M,5.497M,13.699M
Somnium Space Cubes USD,1.0952,0.0119,13.69M,"4,087",13.69M
Quiztok USD,0.002151,0.000322,13.616M,"858,564",13.616M
Era Swap USD,0.006386,-0.000016,13.524M,"475,222",13.524M
Star Atlas USD,0.001379,0.000015,13.516M,"773,284",13.516M
LATOKEN USD,0.035551,-0.001709,13.513M,"12,570",13.513M
Samoyedcoin USD,0.003676,-0.000046,13.443M,"531,758",13.443M
Presearch USD,0.033293,-0.001232,13.203M,"145,620",13.203M
Fuse USD,0.059563,0.000261,13.097M,"379,945",13.097M
Ferro USD,0.014013,-0.000144,13.067M,"29,607",13.067M
Unibright USD,0.087054,0.001676,13.058M,"55,851",13.058M
MarsDAO USD,0.183661,-0.000645,12.966M,"184,694",12.966M
Goldfinch USD,0.440803,0.013364,12.843M,"434,513",12.843M
Shiden Network USD,0.208543,-0.002502,12.827M,"94,394",12.827M
Manna USD,0.019176,0.000251,12.69M,0,12.69M
Bitcoin 2 USD,0.705858,0.052986,12.673M,"1,129",12.673M
OAX USD,0.164271,0.003067,12.654M,1.506M,12.654M
Dimitra USD,0.036916,-0.000403,12.587M,"297,558",12.587M
Solend USD,0.356147,-0.006611,12.483M,"14,366",12.483M
Marinade Staked SOL USD,24.91,-0.21,12.408M,6.501M,12.408M
TABOO TOKEN USD,0.001267,-0.000066,12.397M,"332,557",12.397M
PolySwarm USD,0.008,-0.00035,12.372M,"392,542",12.372M
Chrono.tech USD,17.36,0.47,12.325M,"510,779",12.325M
TrustSwap USD,0.12289,-0.003237,12.288M,"925,095",12.288M
Nash USD,0.310252,-0.000694,12.201M,"4,858",12.201M
Cypherium USD,0.022467,-0.000599,12.147M,"15,213",12.147M
Nestree USD,0.004193,-0.000065,12.137M,"24,585",12.137M
SquidGrow USD,0.00000001,0,12.076M,1.118M,12.076M
Nexa USD,0.00000532,-0.00000017,11.966M,"299,622",11.966M
Victoria VR USD,0.0083,0.000066,11.939M,"460,739",11.939M
UniCrypt USD,254.73,1.19,11.838M,"6,253",11.838M
HUSD USD,0.053135,0.000101,11.828M,344,11.828M
ERC20 USD,0.010372,0.000283,11.706M,209,11.706M
Green Satoshi Token (SOL) USD,0.015008,0.000184,11.602M,"381,193",11.602M
Bitcoin Diamond USD,0.062152,-0.002363,11.591M,"39,272",11.591M
Saito USD,0.010703,0.000055,11.403M,"39,829",11.403M
SOLVE USD,0.020488,0.00047,11.371M,"808,260",11.371M
Nimiq USD,0.001084,-0.000007,11.327M,"37,420",11.327M
Peercoin USD,0.395982,0.000758,11.19M,807,11.19M
Freeway Token USD,0.001119,0.000017,11.185M,"6,793",11.185M
Pitbull USD,0,0,11.106M,"212,776",11.106M
Scallop USD,0.171468,0.003777,11.074M,"568,014",11.074M
Azit USD,0.242437,0.018716,11.066M,"475,716",11.066M
Divi USD,0.00315,-0.000451,10.967M,"320,908",10.967M
Bonfida USD,0.244645,0.008263,10.943M,7.864M,10.943M
Unification USD,0.315603,0.03181,10.872M,"172,876",10.872M
DeFi Kingdoms USD,0.15032,-0.000505,10.83M,"68,267",10.83M
Tokemak USD,0.661484,0.015724,10.792M,"169,059",10.792M
DEAPcoin USD,0.001492,-0.000049,10.788M,"326,949",10.788M
Green Satoshi Token (ETH) USD,0.250583,-0.004594,10.757M,104,10.757M
Numbers Protocol USD,0.028116,-0.000451,10.756M,"399,081",10.756M
Assemble Protocol USD,0.008631,0.000016,10.707M,"80,186",10.707M
Handshake USD,0.017738,0.000711,10.625M,"23,936",10.625M
Counterparty USD,4.055,0.1278,10.599M,0,10.599M
AirDAO USD,0.006843,0.000133,10.6M,1.938M,10.6M
Stratos USD,0.525081,0.009326,10.582M,"379,053",10.582M
RocketX exchange USD,0.139899,0.021429,10.489M,"744,662",10.489M
pNetwork USD,0.140233,-0.003063,10.434M,3.513M,10.434M
IMPT USD,0.00789,-0.000386,10.43M,"553,501",10.43M
BitKan USD,0.001087,-0.000019,10.395M,"156,591",10.395M
Efforce USD,0.019544,0.000561,10.303M,"493,749",10.303M
Epic Cash USD,0.61928,0.005467,10.293M,"2,890",10.293M
PowerPool USD,0.338553,-0.001735,10.14M,1.348M,10.14M
AC Milan Fan Token USD,1.9556,-0.0069,10.136M,"553,173",10.136M
Newscrypto USD,0.067343,-0.000763,10.129M,"18,007",10.129M
Viberate USD,0.050552,0.000355,10.11M,2.003M,10.11M
PRIZM USD,0.002874,0.000063,9.733M,"42,996",9.733M
PERL.eco USD,0.019818,-0.000153,9.729M,1.777M,9.729M
Poolz Finance USD,2.1006,-0.0601,9.714M,"949,812",9.714M
Juventus Fan Token USD,2.2013,-0.0036,9.713M,"867,493",9.713M
Orbcity USD,0.065962,-0.000766,9.704M,"248,551",9.704M
Kryll USD,0.250107,-0.000136,9.616M,"56,566",9.616M
SAFE DEAL USD,0.798035,0.130379,9.607M,"11,301",9.607M
REVV USD,0.008055,0.000026,9.591M,"757,416",9.591M
AMO Coin USD,0.000498,-0.000004,9.541M,"379,758",9.541M
Diamond Launch USD,0.098171,0.000934,9.444M,"106,762",9.444M
Catgirl USD,0,0,9.419M,1.291M,9.419M
ARAW USD,0.004715,-0.015533,9.4M,6,9.4M
Unisocks USD,"30,941.15",-319.82,9.344M,633,9.344M
UniLend USD,0.299371,0.019448,9.296M,6.715M,9.296M
Arcblock USD,0.094026,0.004557,9.267M,"159,152",9.267M
Push Protocol USD,0.223303,-0.004671,9.259M,"297,079",9.259M
Cratos USD,0.000188,-0.000002,9.245M,"214,138",9.245M
Mint Marble USD,0.272485,0.039924,9.21M,405,9.21M
Polkadex USD,1.1003,-0.0415,9.199M,"358,145",9.199M
Prosper USD,0.31553,-0.003425,9.146M,"591,949",9.146M
Onomy Protocol USD,0.230087,-0.00061,9.042M,1.372M,9.042M
Delysium USD,0.050005,-0.00559,9.01M,"787,380",9.01M
Dimecoin USD,0.000019,0,9.008M,0,9.008M
apM Coin USD,0.006858,-0.00005,8.943M,1.248M,8.943M
DAFI Protocol USD,0.009643,0.000012,8.916M,"400,147",8.916M
Comtech Gold USD,63.23,0.39,8.915M,"292,599",8.915M
Atletico De Madrid Fan Token USD,2.5366,0.0272,8.846M,"757,849",8.846M
Kunci Coin USD,0.007171,-0.000083,8.839M,"839,697",8.839M
Validity USD,1.8121,-0.0051,8.835M,"52,153",8.835M
Hydra USD,1.0234,0.0017,8.808M,"68,750",8.808M
Zano USD,0.740038,0.031075,8.714M,"8,607",8.714M
ZKSpace USD,0.044025,0.000631,8.692M,"97,476",8.692M
